customer_id,customer_name,phone_number,email_address
e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,Dominic Buchanan,259.603.6134,dominic_buchanan@e0d6cb3c-c4b0-4cfe-8225-b65d094d2424.com
fa3ca35a-5540-404b-a7eb-9001cdcbd840,Daniel Allen,+1-869-659-4272x982,daniel_allen@fa3ca35a-5540-404b-a7eb-9001cdcbd840.com
7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,Daniel Schmidt,292.840.0975x724,daniel_schmidt@7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34.com
4b9b409c-19f2-41c0-bc7c-6556e0647ebb,John Gonzalez,+1-643-561-3912x262,john_gonzalez@4b9b409c-19f2-41c0-bc7c-6556e0647ebb.com
81b513ad-5c02-48cf-bff0-39e1440c4d22,Amber Benitez,3424148376,amber_benitez@81b513ad-5c02-48cf-bff0-39e1440c4d22.com
7f6608ca-b11e-497f-9421-34ee62f9e220,Sandra Williams,833-392-3750x99267,sandra_williams@7f6608ca-b11e-497f-9421-34ee62f9e220.com
de08452f-8820-4b7e-a394-dba5520a9ce7,Sydney Johnson,824-668-9191,sydney_johnson@de08452f-8820-4b7e-a394-dba5520a9ce7.com
e1ef782d-6bd8-4880-ae57-f6638c7309fc,Mary Douglas,-5077,mary_douglas@e1ef782d-6bd8-4880-ae57-f6638c7309fc.com
df6652a7-8923-431c-b49b-f57138dc1130,Mrs. Courtney Lawson,+1-261-681-8748x0788,mrs._courtney_lawson@df6652a7-8923-431c-b49b-f57138dc1130.com
ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,Eric Ford,-6718,eric_ford@ef9962f3-cfbe-470e-a6ad-d285dbbfa54b.com
2a5aa693-90a5-487d-bed5-709577862299,Joseph Martin,001-700-979-7231x93087,joseph_martin@2a5aa693-90a5-487d-bed5-709577862299.com
6c01445d-e4d3-4560-99ee-4a377d042353,Justin Mullen,612-529-7477x25482,justin_mullen@6c01445d-e4d3-4560-99ee-4a377d042353.com
ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,James Green,(898)706-3931,james_green@ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5.com
3642f2c6-9513-4258-851a-1ca383020a5e,Stephanie Garcia,001-515-658-2264,stephanie_garcia@3642f2c6-9513-4258-851a-1ca383020a5e.com
d345f895-73fe-4d1f-9119-090e3e22cf40,Diane Brown,245-597-6001x88072,diane_brown@d345f895-73fe-4d1f-9119-090e3e22cf40.com
105dedd4-90ce-48ab-8993-d206ca55f9e4,Patricia Carter,(333)659-7851x16303,patricia_carter@105dedd4-90ce-48ab-8993-d206ca55f9e4.com
e919ab84-fdc0-4e10-938d-56418db183ab,Lisa Nelson,001-236-629-1880,lisa_nelson@e919ab84-fdc0-4e10-938d-56418db183ab.com
